question,answer,image_id
what color is the chair in front of the white wall,red,image3
what is in front of the papers and notebook and bottles,chair,image4
what is in front of the door and on the right of the table,chair,image5
how many chairs are on the right side of the table,3,image5
what color is the ladder between the projector screen and armchairs,red,image7
how many monitors are in this picture,3,image7
what color is the wall behind the projector screen,black,image7
how many red objects are in this picture,1,image8
what is the largest dark gery object in this picture,door,image8
what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,garbage_bin,image10
how many blue objects are in this picture on the top of the white cabinet not on the floor,1,image10
what color is the fax machine below the paper rack in front of the wall on the top of the cabinet,white,image11
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what is the black object between the white wall and gray locker,garbage_bin,image12
how many table fans are in this picture,1,image13
what color is the table below the computer case in front of the wall,brown,image20
how many papers are on the wall on the left side of the modem,1,image20
what color is the paper holder on the right side of the water spray bottle,black,image22
how many tape dispensers are on the desk,1,image22
how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3,image23
what color are the paper trays in the bookshelf on the left side of the wall divider not on the desk in front of the computer chair,black,image23
how many toothbrushes are in toothbrush holder,2,image44
how many frames are reflected in the mirror,2,image44
how many frames are in this picture on the windowsill but not on the side table,1,image50
what is on the right side of the side table and below the colorful painting,sofa,image50
what is between two dark brown and beige couches,bookshelf,image51
what is the largest yellow and white object in this picture,pillow,image51
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
how many bottles of water are on the night stand,1,image73
what color is the bedside lamp behind the bottle of water,black,image73
what color is the bookshelf in front of wall,brown,image80
how many knobs are in the first row of the drawers,5,image82
what color is the blanket on the mattress,brown,image82
what color is the lamp shade near the laptop on the table,red,image93
how many stairs are between the front side and the back side of the store,3,image95
how many steps does the step stool have,3,image104
how many lamps are above the cash desk in this picture,2,image114
how many blackboards are in the picture,3,image123
how many tumblers are on the counter,4,image124
how many plates are in the dish rack,2,image130
how many cabinets are above the sink and the dish rack,3,image130
what color is the toaster oven on the top of the cabinet,white,image139
what color is the salt shaker below the electrical outlet,red,image139
how many electrical objects are on the cabinet,2,image139
how many knobs does the oven have,4,image145
what color are the blinds,white,image156
what is leaning against the wall in the corridor,chair,image163
how many bowls are on the tv stand,2,image164
how many colors does the shower curtain have,4,image170
what is the largest black object in this picture,television,image177
how many pictures are on the wall around the television,3,image177
what color is the cutting board behind the dish rack,white,image204
how many electrical appliances are on the cabinet,2,image205
how many kitchen towels are on the cabinet,2,image206
what color is the doors of the cabinets,white,image206
what color is the column in the middle of the store,brown,image223
how many shelves does the cabinet with light green dishes have,4,image223
how many lamps are above the cash desk,2,image234
how many vases are on the coffee table in front of the light blue armchair,2,image237
how many colors do the armchairs and their cushions have,2,image237
what color is the chandelier hanging from the ceiling,black,image245
what color is the pipe behind the room divider,red,image245
how many black chairs are behind the coffee table,2,image248
what color is the dresser below the white lamp shade,white,image248
what color is the table below the black chandelier,white,image249
how many cushions are on the black sofa,2,image249
how many larg frames are on the wall,2,image249
how many rows does the spice rack have,4,image252
how many handles does the faucet have,1,image252
how many remote controls are on the tv stand,1,image259
how many high stools are in front of the kitchen counter,2,image263
what is the largest blue object in this picture,table,image276
how many rolling chairs are in this picture,1,image290
what is covering the wall above the cabinet,picture,image292
what is on the right side of the desk on the floor,garbage_bin,image294
what color is the lamp shade on the desk,red,image308
how many lamps are on the ceiling,2,image309
what color are the children tshirtsg,red,image318
how many computer mouses are in this picture,3,image336
what color is the frame in front of the bookshelf on the floor,black,image377
how many wall lamp shades are in the picture,1,image381
what color is the leather sofa,brown,image383
how many chairs are in front of the desk,2,image383
what color is the rocking chair in front of the bookshelf,white,image400
how many toy chairs are on the floor,2,image402
what color is the chair seat pad,black,image417
how many pink towels are on the pile of clothes,1,image419
